dod,female,kommun60,experiment,foddar,ett
0.1304348,0,308,1,55,23
0,1,308,1,55,22
0.125,0,308,1,56,24
0.0740741,1,308,1,56,27
0.125,0,308,1,57,16
0.1666667,1,308,1,57,24
0,0,309,0,40,5
0,1,309,0,40,1
0,0,309,0,41,2
0,1,309,0,41,4
0,1,309,0,42,1
1,0,309,0,43,2
0.6666667,1,309,0,43,6
0,0,309,0,44,5
0,0,309,0,45,1
0,1,309,0,45,1
0.5,0,309,0,46,4
0,1,309,0,46,2
0.2264151,0,309,0,47,53
0.1612903,1,309,0,47,31
0.2413793,0,309,0,48,58
0.0243902,1,309,0,48,41
0.1395349,0,309,0,49,43
0.1176471,1,309,0,49,34
0.326087,0,309,0,50,46
0.1111111,1,309,0,50,45
0.1428571,0,309,0,51,42
0.0322581,1,309,0,51,31
0.3571429,0,309,0,52,42
0.2,1,309,0,52,40
0.1052632,0,309,1,53,38
0.1702128,1,309,1,53,47
0.0980392,0,309,1,54,51
0.0930233,1,309,1,54,43
0.1351351,0,309,1,55,37
0.1136364,1,309,1,55,44
0.0263158,0,309,1,56,38
0,1,309,1,56,31
0.0666667,0,309,1,57,30
0.0666667,1,309,1,57,30
0,0,310,0,40,1
0,1,310,0,40,2
1,1,310,0,41,2
0.5,1,310,0,42,2
0,1,310,0,43,1
0,0,310,0,44,1
1,1,310,0,44,2
0,0,310,0,46,1
0,1,310,0,46,2
0.25,0,310,0,47,28
0.0357143,1,310,0,47,28
0.2580645,0,310,0,48,31
0.1034483,1,310,0,48,29
0.3571429,0,310,0,49,28
0.1794872,1,310,0,49,39
0.131579,0,310,0,50,38
0.1875,1,310,0,50,32
0.2857143,0,310,0,51,28
0.0666667,1,310,0,51,30
0,0,310,0,52,25
0.0869565,1,310,0,52,23
0.0625,0,310,0,53,32
0.037037,1,310,0,53,27
0.1764706,0,310,0,54,17
0.047619,1,310,0,54,21
0.1111111,0,310,0,55,27
0.0666667,1,310,0,55,15
0.1428571,0,310,1,56,28
0.0540541,1,310,1,56,37
0,0,310,1,57,34
0,1,310,1,57,28
0,1,311,0,40,1
0,1,311,0,41,1
0.6666667,0,311,0,44,3
0,1,311,0,44,1
0.16,0,311,0,47,25
0,1,311,0,47,18
0,0,311,0,48,9
0.1481481,1,311,0,48,27
0.2105263,0,311,0,49,19
0.3125,1,311,0,49,16
0.0769231,0,311,0,50,13
0.2857143,1,311,0,50,14
0.3181818,0,311,0,51,22
0.1333333,1,311,0,51,15
0,0,311,1,52,13
0,1,311,1,52,14
0.2352941,0,311,1,53,17
0,1,311,1,53,16
0.0952381,0,311,1,54,21
0.1428571,1,311,1,54,14
0,0,311,1,55,16
0.3076923,1,311,1,55,13
0,0,311,1,56,12
0.2352941,1,311,1,56,17
0.125,0,311,1,57,8
0.125,1,311,1,57,8
0.5576923,0,312,1,40,52
0.1621622,1,312,1,40,37
0.4166667,0,312,1,41,48
0.4255319,1,312,1,41,47
0.5,0,312,1,42,58
0.1794872,1,312,1,42,39
0.4285714,0,312,1,43,63
0.2857143,1,312,1,43,42
0.4736842,0,312,1,44,38
0.1764706,1,312,1,44,34
0.3783784,0,312,1,45,37
0.1724138,1,312,1,45,29
0.2162162,0,312,1,46,37
0.2272727,1,312,1,46,22
0.2978723,0,312,1,47,188
0.1964286,1,312,1,47,168
0.2487047,0,312,1,48,193
0.1324503,1,312,1,48,151
0.2487562,0,312,1,49,201
0.1038961,1,312,1,49,154
0.1710526,0,312,1,50,152
0.1528662,1,312,1,50,157
0.2546584,0,312,1,51,161
0.1428571,1,312,1,51,147
0.1757576,0,312,1,52,165
0.1223022,1,312,1,52,139
0.1446541,0,312,1,53,159
0.0496454,1,312,1,53,141
0.1409396,0,312,1,54,149
0.1,1,312,1,54,130
0.1386861,0,312,1,55,137
0.0840336,1,312,1,55,119
0.1157025,0,312,1,56,121
0.0852713,1,312,1,56,129
0.056,0,312,1,57,125
0.0615385,1,312,1,57,130
0,0,313,0,40,5
0.2857143,1,313,0,40,7
0,0,313,0,41,2
0.5,1,313,0,41,4
0.6666667,0,313,0,42,6
0,1,313,0,42,1
0,0,313,0,43,5
0.2857143,1,313,0,43,7
0,0,313,0,44,7
0,1,313,0,44,1
0.5454546,0,313,0,45,11
0.2222222,1,313,0,45,9
0,0,313,0,46,3
1,1,313,0,46,2
0.0740741,0,313,0,47,27
0.1470588,1,313,0,47,34
0.1944444,0,313,1,48,36
0.0967742,1,313,1,48,31
0.3055556,0,313,1,49,36
0.1851852,1,313,1,49,27
0.2857143,0,313,1,50,35
0.2222222,1,313,1,50,45
0,0,313,1,51,32
0.1666667,1,313,1,51,36
0.1153846,0,313,1,52,26
0.2,1,313,1,52,30
0.04,0,313,1,53,25
0.1951219,1,313,1,53,41
0.1515152,0,313,1,54,33
0.2666667,1,313,1,54,30
0.2,0,313,1,55,25
0.0454545,1,313,1,55,22
0.1290323,0,313,1,56,31
0.1666667,1,313,1,56,30
0.3125,0,313,1,57,48
0,1,313,1,57,32
0.6666667,0,314,0,40,3
0.4,1,314,0,40,5
0,0,314,0,41,1
0,1,314,0,41,1
0,0,314,0,42,1
0,1,314,0,42,1
0.5,1,314,0,43,2
0.6666667,0,314,0,45,3
0.2857143,0,314,0,47,35
0.1621622,1,314,0,47,37
0.212766,0,314,0,48,47
0.1578947,1,314,0,48,38
0.2666667,0,314,0,49,30
0.0810811,1,314,0,49,37
0.1875,0,314,0,50,32
0.2352941,1,314,0,50,34
0.1538462,0,314,0,51,39
0.2777778,1,314,0,51,18
0.1904762,0,314,0,52,21
0.2307692,1,314,0,52,26
0.0857143,0,314,1,53,35
0.2333333,1,314,1,53,30
0.0833333,0,314,1,54,24
0.1304348,1,314,1,54,23
0.047619,0,314,1,55,21
0,1,314,1,55,23
0.047619,0,314,1,56,21
0.1111111,1,314,1,56,27
0.0357143,0,314,1,57,28
0,1,314,1,57,23
0,0,315,0,40,2
0,1,315,0,40,2
0.5,0,315,0,41,2
0.6666667,1,315,0,41,3
0,0,315,0,42,1
0.5,1,315,0,44,2
0,1,315,0,45,2
1,0,315,0,46,1
1,1,315,0,46,2
